Id_hecho,Nro_victimas,Fecha,Anio,Mes,Dia,Hora,Lugar_hecho,Tipo_calle,Calle,Cruce,Comuna,Long_x,Lat_y,Participantes,Victima,Acusado,Rol,Sexo,Edad,Fecha_fallecimiento,Franja_horaria
2016-0100,1,2016-08-03,2016,Agosto,3,23,AV GRAL PAZ  Y DONADO,AUTOPISTA,"PAZ, GRAL. AV.",Con_cruce,12,-58.49491054,-34.54795581,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,57,2016-08-03,Noche
2016-0101,1,2016-08-07,2016,Agosto,7,19,AV GRAL PAZ Y JORGE CHAVEZ,AUTOPISTA,"PAZ, GRAL. AV.",Con_cruce,9,-58.52932872,-34.65014993,SD-SD,No_data,No_data,No_data,MASCULINO,67,2000-01-01,Noche
2016-0102,1,2016-08-10,2016,Agosto,10,23,AV EVA PERON Y JOSE LEON SUAREZ,AVENIDA,"PERON, EVA AV.",Con_cruce,9,-58.50011639,-34.67316502,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,29,2000-01-01,Noche
2016-0104,1,2016-08-14,2016,Agosto,14,21,ZINNY Y AV SANTIAGO DE COMPOSTELA,AVENIDA,ZINNY,Con_cruce,9,-58.46635001,-34.65624369,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,21,2016-08-15,Noche
2016-0105,1,2016-08-17,2016,Agosto,17,0,AV FEDERICO LACROZE Y FRAGA,AVENIDA,"LACROZE, FEDERICO AV.",Con_cruce,15,-58.45343236,-34.58435809,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,19,2016-08-26,Madrugada
2016-0106,1,2016-08-19,2016,Agosto,19,21,CARLOS PELLEGRINI Y AV DEL LIBERTADOR,AVENIDA,"PELLEGRINI, CARLOS",Con_cruce,1,-58.38090932,-34.58927731,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,38,2000-01-01,Noche
2016-0107,1,2016-08-20,2016,Agosto,20,8,AUTOPISTA 9 DE JULIO SUR ALT AV MENDOZA,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Sin_cruce,4,-58.37157668,-34.65429986,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,21,2000-01-01,Mañana
2016-0109,1,2016-08-24,2016,Agosto,24,5,AUTOPISTA PERITO MORENO Y BARRAGAN,AUTOPISTA,AUTOPISTA PERITO MORENO,Con_cruce,9,-58.52280139,-34.63659934,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,CONDUCTOR,FEMENINO,53,2016-08-24,Madrugada
2016-0110,1,2016-08-24,2016,Agosto,24,20,AV ALBERDI Y CARHUE,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",Con_cruce,9,-58.51232237,-34.65903530,PEATON-SD,PEATON,No_data,PEATON,MASCULINO,57,2000-01-01,Noche
2016-0111,1,2016-08-25,2016,Agosto,25,9,AUTOPISTA LEOPOLDO LUGONES Y LA PAMPA,AUTOPISTA,LUGONES,Con_cruce,15,-58.47461905,-34.57663634,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,27,2016-08-25,Mañana
2016-0112,1,2016-08-27,2016,Agosto,27,4,AUTOPISTA 25 DE MAYO AUTOPISTA 1 SUR ARTURO FRONDIZI,AUTOPISTA,AUTOPISTA 25 DE MAYO,Con_cruce,1,-58.38268809,-34.62282019,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,24,2016-08-27,Madrugada
2016-0113,1,2016-08-27,2016,Agosto,27,16,AV JUAN BAUTISTA ALBERDI Y GUARDIA NACIONAL,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",Con_cruce,9,-58.49603546,-34.64564271,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,60,2000-01-01,Tarde
2016-0114,1,2016-08-31,2016,Agosto,31,11,SALGUERO 1410,CALLE,"SALGUERO, JERONIMO",Sin_cruce,14,-58.41848605,-34.59394733,BICICLETA-CARGAS,BICICLETA,CARGAS,CICLISTA,FEMENINO,55,2016-08-31,Mañana
2016-0115,1,2016-09-02,2016,Septiembre,2,11,ARIAS Y TRONADOR,CALLE,ARIAS,Con_cruce,12,-58.48935041,-34.54917673,SD-CARGAS,No_data,CARGAS,No_data,MASCULINO,42,2000-01-01,Mañana
